accuracy,precision,recall,f_measure,accuracy1,precision1,recall1,f_measure1,accuracy2,precision2,recall2,f_measure2,accuracy3,precision3,recall3,f_measure3
0.0,0.0,0.0,0.0,1.01,0.9918032786885246,1.4285714285714286,1.1656095842142356,0.67,0.75,0.6885245901639344,0.7179487179487181,0.42,0.8043478260869565,0.43023255813953487,0.5606060606060607
0.0,0.0,0.0,0.0,0.9600000000000001,0.9531914893617022,0.9795918367346939,0.9647435897435899,0.65,0.6625,0.8688524590163934,0.75177304964539,0.36,0.8055555555555556,0.3372093023255814,0.4754098360655738
0.0,0.0,0.0,0.0,1.06,1.0285714285714285,1.510204081632653,1.2234747557559609,0.4,0.509090909090909,0.45901639344262296,0.48275862068965514,0.35,0.7837837837837838,0.3372093023255814,0.47154471544715443
0.0,0.0,0.0,0.0,0.96,0.9462743843939878,1.0816326530612246,1.008714596949891,0.54,0.6415094339622641,0.5573770491803278,0.5964912280701753,0.41,0.8857142857142857,0.36046511627906974,0.512396694214876
0.0,0.0,0.0,0.0,0.98,0.9214015151515151,0.9591836734693877,0.9122920021470747,0.55,0.6904761904761905,0.47540983606557374,0.5631067961165048,0.35,0.8,0.32558139534883723,0.462809917355372
0.0,0.0,0.0,0.0,1.1400000000000001,1.1450230718523402,0.9183673469387754,1.0186046511627906,0.52,0.6585365853658537,0.4426229508196721,0.5294117647058824,0.52,0.8958333333333334,0.5,0.6417910447761194
0.0,0.0,0.0,0.0,0.97,0.959016393442623,1.3877551020408163,1.129245947850599,0.35,0.45652173913043476,0.3442622950819672,0.3925233644859813,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,1.03,1.0089795918367348,1.0204081632653061,1.0146361574933003,0.39,0.5,0.45901639344262296,0.4786324786324786,0.32,0.7368421052631579,0.32558139534883723,0.45161290322580644
0.0,0.0,0.0,0.0,1.0,0.9761904761904762,0.9387755102040817,0.9544119247089544,0.51,0.59375,0.6229508196721312,0.608,0.33,0.7878787878787878,0.3023255813953488,0.43697478991596644
0.0,0.0,0.0,0.0,1.1,1.0729851262538914,1.183673469387755,1.1232048374905519,0.44,0.5510204081632653,0.4426229508196721,0.49090909090909085,0.38,0.8333333333333334,0.3488372093023256,0.4918032786885246
0.0,0.0,0.0,0.0,1.09,1.101018675721562,0.7755102040816326,0.9077586206896552,0.51,0.5909090909090909,0.639344262295082,0.6141732283464568,0.36,0.8055555555555556,0.3372093023255814,0.4754098360655738
