accuracy,precision,recall,f_measure,accuracy1,precision1,recall1,f_measure1,accuracy2,precision2,recall2,f_measure2,accuracy3,precision3,recall3,f_measure3
0.0,0.0,0.0,0.0,1.01,0.9918032786885246,1.4285714285714286,1.1656095842142356,0.61,0.6375,0.8360655737704918,0.723404255319149,0.41,0.813953488372093,0.4069767441860465,0.5426356589147288
0.0,0.0,0.0,0.0,0.9600000000000001,0.9531914893617022,0.9795918367346939,0.9647435897435899,0.69,0.6875,0.9016393442622951,0.7801418439716312,0.37,0.896551724137931,0.3023255813953488,0.45217391304347815
0.0,0.0,0.0,0.0,1.06,1.0285714285714285,1.510204081632653,1.2234747557559609,0.56,0.6307692307692307,0.6721311475409836,0.6507936507936507,0.5,0.875,0.4883720930232558,0.6268656716417911
0.0,0.0,0.0,0.0,0.96,0.9462743843939878,1.0816326530612246,1.008714596949891,0.56,0.6307692307692307,0.6721311475409836,0.6507936507936507,0.43,0.8536585365853658,0.4069767441860465,0.5511811023622047
0.0,0.0,0.0,0.0,0.98,0.9214015151515151,0.9591836734693877,0.9122920021470747,0.48,0.5789473684210527,0.5409836065573771,0.5593220338983051,0.29,0.8571428571428571,0.20930232558139536,0.33644859813084116
0.0,0.0,0.0,0.0,1.1400000000000001,1.1450230718523402,0.9183673469387754,1.0186046511627906,0.54,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.49,0.8571428571428571,0.4883720930232558,0.6222222222222221
0.0,0.0,0.0,0.0,0.97,0.959016393442623,1.3877551020408163,1.129245947850599,0.51,0.6363636363636364,0.45901639344262296,0.5333333333333333,0.1,0.3,0.03488372093023256,0.0625
0.0,0.0,0.0,0.0,1.03,1.0089795918367348,1.0204081632653061,1.0146361574933003,0.59,0.75,0.4918032786885246,0.5940594059405939,0.5,0.9090909090909091,0.46511627906976744,0.6153846153846153
0.0,0.0,0.0,0.0,1.0,0.9761904761904762,0.9387755102040817,0.9544119247089544,0.44,0.5471698113207547,0.47540983606557374,0.5087719298245614,0.39,0.8048780487804879,0.38372093023255816,0.5196850393700788
0.0,0.0,0.0,0.0,1.1,1.0729851262538914,1.183673469387755,1.1232048374905519,0.48,0.6363636363636364,0.3442622950819672,0.4468085106382978,0.42,0.85,0.3953488372093023,0.5396825396825397
0.0,0.0,0.0,0.0,1.09,1.101018675721562,0.7755102040816326,0.9077586206896552,0.38,0.4864864864864865,0.29508196721311475,0.36734693877551017,0.43,0.9142857142857143,0.37209302325581395,0.5289256198347106
